language,fake_or_real,path,id,source,variant,user_choice,user_score,have_answered,have_scored,cause
zh,True,TimeScaling110/zh/audio3539.wav,TimeScaling110_zh_3539,xtts_v2,TimeScaling110,0,2,1,1,"声音响度,语速,情感,停顿或呼吸音"
zh,True,Alldataset44k/zh/audio1569.wav,Alldataset44k_zh_1569,voicemaker,Alldataset44k,1,1,1,1,"声音响度,情感,停顿或呼吸音"
zh,False,gaussadded15/zh/audio462.wav,gaussadded15_zh_462,real,gaussadded15,0,-1,1,-1,
zh,True,gaussadded20/zh/audio3265.wav,gaussadded20_zh_3265,voxify,gaussadded20,1,1,1,1,"声音响度,情感,停顿或呼吸音"
zh,True,logfade10/zh/audio2370.wav,logfade10_zh_2370,xtts_v2,logfade10,0,1,1,1,"笑声或其它语气词,语速,停顿或呼吸音"
zh,False,NoiseAdded-human15/zh/audio211.wav,NoiseAdded-human15_zh_211,real,NoiseAdded-human15,0,-1,1,-1,
zh,True,volume75/zh/audio1355.wav,volume75_zh_1355,voxify,volume75,1,1,1,1,"语速,情感,停顿或呼吸音"
zh,True,NoiseAdded-natural20/zh/audio1368.wav,NoiseAdded-natural20_zh_1368,GPT_SoVITS,NoiseAdded-natural20,0,1,1,1,"声音响度,语速,情感,停顿或呼吸音"
zh,True,NoiseAdded-natural15/zh/audio393.wav,NoiseAdded-natural15_zh_393,naturalreader,NoiseAdded-natural15,1,1,1,1,"声音响度,笑声或其它语气词,语速,情感,停顿或呼吸音"
zh,False,gaussadded25/zh/audio2298.wav,gaussadded25_zh_2298,real,gaussadded25,0,-1,1,-1,
zh,False,NoiseAdded-interior15/zh/audio1964.wav,NoiseAdded-interior15_zh_1964,real,NoiseAdded-interior15,0,-1,1,-1,
zh,False,TimeScaling105/zh/audio3243.wav,TimeScaling105_zh_3243,real,TimeScaling105,0,-1,1,-1,
zh,False,NoiseAdded-human25/zh/audio1106.wav,NoiseAdded-human25_zh_1106,real,NoiseAdded-human25,0,-1,1,-1,
zh,True,linefade20/zh/audio843.wav,linefade20_zh_843,speechgen,linefade20,1,1,1,1,"声音响度,笑声或其它语气词,语速,情感,停顿或呼吸音"
zh,False,expfade30/zh/audio7424.wav,expfade30_zh_7424,real,expfade30,0,-1,1,-1,
zh,True,linefade10/zh/audio2512.wav,linefade10_zh_2512,voiser,linefade10,1,1,1,1,"声音响度,笑声或其它语气词,语速,情感,停顿或呼吸音"
zh,False,expfade10/zh/audio836.wav,expfade10_zh_836,real,expfade10,0,-1,1,-1,
zh,True,Alldataset/zh/audio1644.wav,Alldataset_zh_1644,xtts_v2,Alldataset,0,1,1,1,"声音响度,笑声或其它语气词,语速,情感,停顿或呼吸音"
zh,False,TimeScaling90/zh/audio3525.wav,TimeScaling90_zh_3525,real,TimeScaling90,0,-1,1,-1,
zh,True,NoiseAdded-exterior20/zh/audio1035.wav,NoiseAdded-exterior20_zh_1035,aivoov,NoiseAdded-exterior20,1,1,1,1,"声音响度,笑声或其它语气词,语速,情感,停顿或呼吸音"
zh,False,linefade30/zh/audio7457.wav,linefade30_zh_7457,real,linefade30,0,-1,1,-1,
zh,False,NoiseAdded-animal25/zh/audio205.wav,NoiseAdded-animal25_zh_205,real,NoiseAdded-animal25,0,-1,1,-1,
zh,True,TimeScaling90/zh/audio2558.wav,TimeScaling90_zh_2558,OpenVoice,TimeScaling90,0,2,1,1,"声音响度,语速,情感,停顿或呼吸音"
zh,True,TimeScaling105/zh/audio730.wav,TimeScaling105_zh_730,googleapi,TimeScaling105,1,1,1,1,"声音响度,笑声或其它语气词,语速,情感,停顿或呼吸音"
zh,True,volume50/zh/audio1308.wav,volume50_zh_1308,voxify,volume50,0,3,1,1,"语速,情感,停顿或呼吸音"
zh,True,linefade30/zh/audio3144.wav,linefade30_zh_3144,aivoov,linefade30,1,2,1,1,"笑声或其它语气词,语速,情感,停顿或呼吸音"
zh,True,expfade10/zh/audio2593.wav,expfade10_zh_2593,Bark,expfade10,1,1,1,1,"语速,情感,停顿或呼吸音"
zh,True,NoiseAdded-animal25/zh/audio1573.wav,NoiseAdded-animal25_zh_1573,GPT_SoVITS,NoiseAdded-animal25,0,1,1,1,"声音响度,语速,情感,停顿或呼吸音"
zh,True,Alldataset32K/zh/audio2892.wav,Alldataset32K_zh_2892,freetts,Alldataset32K,1,1,1,1,"笑声或其它语气词,情感,停顿或呼吸音"
zh,False,volume125/zh/audio1245.wav,volume125_zh_1245,real,volume125,0,-1,1,-1,
zh,False,Alldataset/zh/audio2170.wav,Alldataset_zh_2170,real,Alldataset,0,-1,1,-1,
zh,True,NoiseAdded-exterior15/zh/audio3475.wav,NoiseAdded-exterior15_zh_3475,Bark,NoiseAdded-exterior15,1,3,1,1,"语速,情感,停顿或呼吸音"
zh,False,Alldataset44k/zh/audio2368.wav,Alldataset44k_zh_2368,real,Alldataset44k,0,-1,1,-1,
zh,False,logfade20/zh/audio2509.wav,logfade20_zh_2509,real,logfade20,0,-1,1,-1,
zh,False,TimeScaling95/zh/audio552.wav,TimeScaling95_zh_552,real,TimeScaling95,0,-1,1,-1,
zh,False,NoiseAdded-exterior15/zh/audio2238.wav,NoiseAdded-exterior15_zh_2238,real,NoiseAdded-exterior15,0,-1,1,-1,
zh,False,linefade20/zh/audio2316.wav,linefade20_zh_2316,real,linefade20,0,-1,1,-1,
zh,True,NoiseAdded-natural25/zh/audio350.wav,NoiseAdded-natural25_zh_350,freetts,NoiseAdded-natural25,1,1,1,1,"声音响度,语速,情感,停顿或呼吸音"
zh,True,TimeScaling95/zh/audio7498.wav,TimeScaling95_zh_7498,ChatTTS,TimeScaling95,0,1,1,1,"笑声或其它语气词,情感,停顿或呼吸音"
zh,True,volume125/zh/audio2808.wav,volume125_zh_2808,speechgen,volume125,1,1,1,1,"声音响度,语速,情感,停顿或呼吸音"
zh,False,NoiseAdded-exterior20/zh/audio110.wav,NoiseAdded-exterior20_zh_110,real,NoiseAdded-exterior20,0,-1,1,-1,
zh,False,volume75/zh/audio2597.wav,volume75_zh_2597,real,volume75,0,-1,1,-1,
zh,True,NoiseAdded-animal15/zh/audio2627.wav,NoiseAdded-animal15_zh_2627,OpenVoice,NoiseAdded-animal15,0,1,1,1,"笑声或其它语气词,停顿或呼吸音"
zh,True,NoiseAdded-animal20/zh/audio495.wav,NoiseAdded-animal20_zh_495,texttovoice,NoiseAdded-animal20,1,1,1,1,"语速,情感,停顿或呼吸音"
zh,True,NoiseAdded-exterior25/zh/audio2706.wav,NoiseAdded-exterior25_zh_2706,Bark,NoiseAdded-exterior25,1,3,1,1,"情感,停顿或呼吸音"
zh,False,NoiseAdded-exterior25/zh/audio547.wav,NoiseAdded-exterior25_zh_547,real,NoiseAdded-exterior25,0,-1,1,-1,
zh,False,volume150/zh/audio2242.wav,volume150_zh_2242,real,volume150,0,-1,1,-1,
zh,True,logfade20/zh/audio519.wav,logfade20_zh_519,RBVC,logfade20,0,1,1,1,停顿或呼吸音
zh,False,NoiseAdded-natural25/zh/audio7251.wav,NoiseAdded-natural25_zh_7251,real,NoiseAdded-natural25,0,-1,1,-1,
zh,False,logfade10/zh/audio2792.wav,logfade10_zh_2792,real,logfade10,0,-1,1,-1,
zh,True,gaussadded15/zh/audio797.wav,gaussadded15_zh_797,audyo,gaussadded15,1,1,1,1,"语速,情感,停顿或呼吸音"
zh,False,NoiseAdded-natural20/zh/audio7267.wav,NoiseAdded-natural20_zh_7267,real,NoiseAdded-natural20,0,-1,1,-1,
zh,False,logfade30/zh/audio3036.wav,logfade30_zh_3036,real,logfade30,0,-1,1,-1,
zh,False,NoiseAdded-animal15/zh/audio1993.wav,NoiseAdded-animal15_zh_1993,real,NoiseAdded-animal15,0,-1,1,-1,
zh,False,volume50/zh/audio518.wav,volume50_zh_518,real,volume50,1,-1,1,-1,
zh,True,NoiseAdded-human25/zh/audio1244.wav,NoiseAdded-human25_zh_1244,StarGan,NoiseAdded-human25,0,1,1,1,停顿或呼吸音
zh,False,NoiseAdded-natural15/zh/audio886.wav,NoiseAdded-natural15_zh_886,real,NoiseAdded-natural15,0,-1,1,-1,
zh,False,NoiseAdded-animal20/zh/audio3209.wav,NoiseAdded-animal20_zh_3209,real,NoiseAdded-animal20,1,-1,1,-1,
zh,False,TimeScaling110/zh/audio1792.wav,TimeScaling110_zh_1792,real,TimeScaling110,0,-1,1,-1,
zh,False,NoiseAdded-interior25/zh/audio1931.wav,NoiseAdded-interior25_zh_1931,real,NoiseAdded-interior25,0,-1,1,-1,
zh,True,NoiseAdded-human20/zh/audio7354.wav,NoiseAdded-human20_zh_7354,ChatTTS,NoiseAdded-human20,0,1,1,1,笑声或其它语气词
zh,False,expfade20/zh/audio994.wav,expfade20_zh_994,real,expfade20,0,-1,1,-1,
zh,True,logfade30/zh/audio3072.wav,logfade30_zh_3072,xtts_v2,logfade30,1,1,1,1,停顿或呼吸音
zh,False,gaussadded20/zh/audio2196.wav,gaussadded20_zh_2196,real,gaussadded20,0,-1,1,-1,
zh,True,Re-Alldataset/zh/audio766.wav,Re-Alldataset_zh_766,audyo,Re-Alldataset,1,3,1,1,停顿或呼吸音
zh,True,NoiseAdded-interior20/zh/audio2670.wav,NoiseAdded-interior20_zh_2670,StarGan,NoiseAdded-interior20,0,1,1,1,"笑声或其它语气词,语速,情感"
zh,True,expfade30/zh/audio1352.wav,expfade30_zh_1352,xtts_v2,expfade30,1,1,1,1,停顿或呼吸音
zh,True,NoiseAdded-human15/zh/audio3169.wav,NoiseAdded-human15_zh_3169,voicemaker,NoiseAdded-human15,1,1,1,1,"语速,情感,停顿或呼吸音"
zh,False,NoiseAdded-human20/zh/audio2243.wav,NoiseAdded-human20_zh_2243,real,NoiseAdded-human20,0,-1,1,-1,
zh,True,gaussadded25/zh/audio965.wav,gaussadded25_zh_965,voiser,gaussadded25,1,1,1,1,"笑声或其它语气词,语速,情感,停顿或呼吸音"
zh,True,NoiseAdded-interior25/zh/audio538.wav,NoiseAdded-interior25_zh_538,freetts,NoiseAdded-interior25,1,1,1,1,"语速,情感,停顿或呼吸音"
zh,True,NoiseAdded-interior15/zh/audio1028.wav,NoiseAdded-interior15_zh_1028,googleapi,NoiseAdded-interior15,1,1,1,1,"语速,情感,停顿或呼吸音"
zh,False,linefade10/zh/audio2470.wav,linefade10_zh_2470,real,linefade10,0,-1,1,-1,
zh,False,Alldataset32K/zh/audio3164.wav,Alldataset32K_zh_3164,real,Alldataset32K,0,-1,1,-1,
zh,False,Re-Alldataset/zh/audio2683.wav,Re-Alldataset_zh_2683,real,Re-Alldataset,0,-1,1,-1,
zh,True,expfade20/zh/audio2419.wav,expfade20_zh_2419,naturalreader,expfade20,1,1,1,1,"语速,情感,停顿或呼吸音"
zh,False,NoiseAdded-interior20/zh/audio1909.wav,NoiseAdded-interior20_zh_1909,real,NoiseAdded-interior20,0,-1,1,-1,
zh,True,volume150/zh/audio1768.wav,volume150_zh_1768,GPT_SoVITS,volume150,1,3,1,1,"情感,停顿或呼吸音"
